-29.2644	82.1011	-0.1681
30.3458	82.3208	-2.5084
-70.6916	41.8958	-10.8395
-49.1339	46.0206	49.8831
2.3304	47.9355	75.787
53.4301	46.0515	44.4067
73.3302	42.0529	-16.9723
-76.9277	14.1172	25.097
-32.0939	14.4686	86.4236
37.0696	14.142	82.3849
80.6141	13.3845	18.9204
-85.0072	-16.3778	-18.4196
-64.2027	-20.782	63.5856
2.8165	-23.3292	101.2672
68.9216	-21.6725	57.4563
85.084	-17.5501	-25.2931
-79.5982	-51.4848	20.7615
-33.7659	-59.7753	85.984
40.4866	-60.4388	82.3243
84.1409	-53.1682	14.4935
-73.4404	-74.4816	-21.5311
-52.4644	-86.8018	41.7174
1.798	-92.892	68.8025
56.7709	-88.0486	38.0235
72.7791	-75.9692	-27.446
-30.1827	-115.1564	-17.6531
29.3709	-115.6245	-20.0571
