94.9	30.7	14
98.3	-0.165	18.6
96.4	-31.5	14.1
52	74.2	3.09
52	52.9	56.7
52.4	-0.426	79.2
53.1	-54.9	55.4
53.6	-76	2.91
18.5	80.9	33.5
15.1	34.7	87.3
15.8	-35.8	85.8
19.9	-84	33.3
-11.7	87.4	-6.17
-22.8	67.2	64.9
-27.5	-0.537	96.9
-21.9	-69.1	64
-10.6	-88.2	-6.27
-53.1	82.8	26
-66.8	37.1	83.7
-66.3	-39.9	83.6
-52.4	-86.2	26.7
-74.9	75.6	-12
-92.6	55.1	42.5
-101	-0.444	66.9
-92.7	-57.3	42.6
-74.9	-76.2	-12.2
-116	-0.303	30.7
-119	30.8	-11
-119	-31.2	-11.1
79.3	57.4	8.56
82.4	35.5	41
83.1	-37.7	41.4
80.3	-57.9	8.54
52	67.4	31.3
52.1	28.5	74.1
52.7	-31	73.2
53.4	-70	30.8
16.5	63.1	64.4
14.8	-0.516	95.5
17.6	-64.7	63.4
-17.6	84.9	31.6
-26.7	38	90.8
-26	-39.8	89.2
-16.6	-86.3	31.4
-61	65.7	58.9
-60.1	-68	58.5
-84.3	70.5	17
-98.3	29.6	60.2
-98.6	-32.1	60.8
-84.3	-72.2	16.9
-107	50.3	4.87
-112	39.6	20.4
-112	-38.3	19.4
-108	-49.5	4.09
20.9	83.6	-1.84
22.4	-85	-1.97
-44.5	87.9	-10.1
-43.5	-87	-9.97
-101	57.2	-12.6
-102	-58.2	-12.9
-123	-0.161	-7.28
